word,lex,gr.pos,parts,gloss,trans_ru,freq,affix
ухэт,хэт,PRON,"['у', 'хэт']","['2SG.ABS', 'STEM']",кто,64,"['prefix', 'root']"
хэтэрыкӏ,тэ,PRON,"['хэ', 'тэ', 'ры', 'кӏ']","['LOC', 'STEM', 'PRED', 'EL']",мы,125,"['prefix', 'root', 'suffix', 'suffix']"
арыкӏэ,а,PRON,"['а', 'ры', 'кӏэ']","['STEM', 'PRED', 'NMLZ.MNR']",тот,19,"['root', 'suffix', 'suffix']"
зэкӏэмкӏэ,зэкӏэ,PRON,"['зэкӏэ', 'м', 'кӏэ']","['STEM', 'OBL', 'INS']",все,40,"['root', 'suffix', 'suffix']"
ежьи,ежь,PRON,"['ежь', 'и']","['STEM', 'ADD']",сам,65,"['root', 'suffix']"
цӏыкӏум,Цӏыкӏу,NOUN,"['цӏыкӏу', 'м']","['STEM', 'OBL']",Цику,1167,"['root', 'suffix']"
республикэм,республикэ,NOUN,"['республикэ', 'м']","['STEM', 'OBL']",республика,84190,"['root', 'suffix']"
кӏэ,кӏэ,NOUN,['кӏэ'],['STEM'],хвост,4347,['root']
ыкӏи,кӏэ,NOUN,"['ы', 'кӏ', 'и']","['3SG.P', 'STEM', 'ADD']",семя,59686,"['prefix', 'root', 'suffix']"
чылэм,чылэ,NOUN,"['чылэ', 'м']","['STEM', 'OBL']",селение,1814,"['root', 'suffix']"
ар-м,Адыгэ Республик,NOUN,"['ар', 'м']","['STEM', 'OBL']",Республика Адыгея,16393,"['root', 'suffix']"
лӏыжъым,лӏы,NOUN,"['лӏы', 'жъы', 'м']","['STEM', 'старый', 'OBL']",муж; мужчина,552,"['root', 'suffix', 'suffix']"
амалхэр,амал,NOUN,"['амал', 'хэ', 'р']","['STEM', 'PL', 'ABS']",возможность,1155,"['root', 'suffix', 'suffix']"
ипшъэрылъхэр,пшъэрылъ,NOUN,"['и', 'пшъэрылъ', 'хэ', 'р']","['POSS', 'STEM', 'PL', 'ABS']",задача; долг; обязанность; обязанность; задание; поручение; наказ,2074,"['prefix', 'root', 'suffix', 'suffix']"
культурэм,культур,NOUN,"['культурэ', 'м']","['STEM', 'OBL']",культура,3819,"['root', 'suffix']"
илъэс,илъэс,NOUN,['илъэс'],['STEM'],год,20924,['root']
плъырыгъэ,гъэр,NOUN,"['п', 'лъы', 'ры', 'гъэ']","['2SG.IO', 'LOC', 'TRANS', 'STEM']",год,15,"['prefix', 'prefix', 'prefix', 'root']"
зэрэдгъэцэкӏэщтхэм,цакӏэ,NOUN,"['зэрэ', 'д', 'гъэ', 'цэкӏэ', 'щт', 'хэ', 'м']","['REL.SUB', '1PL.ERG', 'CAUS', 'STEM', 'FUT', 'PL', 'OBL']",край,19,"['prefix', 'prefix', 'prefix', 'root', 'suffix', 'suffix', 'suffix']"
университетым,университет,NOUN,"['университеты', 'м']","['STEM', 'OBL']",университет,8434,"['root', 'suffix']"
ыкӏи,кӏэ,NOUN,"['ы', 'кӏ', 'и']","['3SG.P', 'STEM', 'ADD']",хвост,59686,"['prefix', 'root', 'suffix']"
адыгэ,Адыгэ,NOUN,['адыгэ'],['STEM'],Адыга,55105,['root']
шъуязау,зао,NOUN,"['шъу', 'й', 'а', 'зау']","['2PL.ABS', 'POSS', '3PL.P', 'STEM']",война; бой; битва,11,"['prefix', 'prefix', 'prefix', 'root']"
ставрополь,Ставрополь,NOUN,['ставрополь'],['STEM'],Ставрополь,724,['root']
концертым,концерт,NOUN,"['концерты', 'м']","['STEM', 'OBL']",концерт,908,"['root', 'suffix']"
ахъщэм,ахъщэ,NOUN,"['ахъщэ', 'м']","['STEM', 'OBL']",деньги,737,"['root', 'suffix']"
аслъан,Аслъан,NOUN,['аслъан'],['STEM'],Аслан,24906,['root']
бзэм,бзэ,NOUN,"['бзэ', 'м']","['STEM', 'OBL']",язык; пружина; рессора,714,"['root', 'suffix']"
ансамблэм,ансамбль,NOUN,"['ансамблэ', 'м']","['STEM', 'OBL']",ансамбль,582,"['root', 'suffix']"
зэшхэм,шы,NOUN,"['зэ', 'ш', 'хэ', 'м']","['REC.P', 'STEM', 'PL', 'OBL']",брат,148,"['prefix', 'root', 'suffix', 'suffix']"
республикэр,республикэ,NOUN,"['республикэ', 'р']","['STEM', 'ABS']",республика,2460,"['root', 'suffix']"
кӏэнкӏэ,кӏэ,NOUN,"['кӏэ', 'н', 'кӏэ']","['STEM', 'MOD', 'INS']",семя,100,"['root', 'suffix', 'suffix']"
муниципалитетхэм,муниципалитет,NOUN,"['муниципалитет', 'хэ', 'м']","['STEM', 'PL', 'OBL']",муниципалитет,245,"['root', 'suffix', 'suffix']"
кӏэлэегъаджэхэм,кӏэлэегъаджэ,NOUN,"['кӏэлэегъаджэ', 'хэ', 'м']","['STEM', 'PL', 'OBL']",учитель,1163,"['root', 'suffix', 'suffix']"
япшъэрылъхэр,пшъэрылъ,NOUN,"['й', 'а', 'пшъэрылъ', 'хэ', 'р']","['POSS', '3PL.P', 'STEM', 'PL', 'ABS']",задача; долг; обязанность; обязанность; задание; поручение; наказ,747,"['prefix', 'prefix', 'root', 'suffix', 'suffix']"
къулыкъухэм,къулыкъу,NOUN,"['къулыкъу', 'хэ', 'м']","['STEM', 'PL', 'OBL']",служба,2390,"['root', 'suffix', 'suffix']"
амал,амал,NOUN,['амал'],['STEM'],возможность,4206,['root']
пластикэм,пластикэ,NOUN,"['пластикэ', 'м']","['STEM', 'OBL']",пластика,21,"['root', 'suffix']"
федерацием,федерацие,NOUN,"['федерацие', 'м']","['STEM', 'OBL']",федерация,5484,"['root', 'suffix']"
мазэ,мазэ,NOUN,['мазэ'],['STEM'],месяц; луна,2533,['root']
пенсионерхэм,пенсионер,NOUN,"['пенсионер', 'хэ', 'м']","['STEM', 'PL', 'OBL']",пенсионер,356,"['root', 'suffix', 'suffix']"
тхылъ,тхылъ,NOUN,['тхылъ'],['STEM'],книга,3597,['root']
зыфэныкъохэр,ныкъо,NOUN,"['зы', 'фэ', 'ныкъо', 'хэ', 'р']","['RFL.IO', 'BEN', 'STEM', 'PL', 'ABS']",половина,33,"['prefix', 'prefix', 'root', 'suffix', 'suffix']"
ежьхэри,яжьэ,NOUN,"['ежь', 'хэ', 'ри']","['STEM', 'PL', 'ADD']",пепел; зола,238,"['root', 'suffix', 'suffix']"
абдзах,Абдзах,NOUN,['абдзах'],['STEM'],Абдзах,31,['root']
зэкӏэми,кӏэ,NOUN,"['зэ', 'кӏэ', 'м', 'и']","['REC.P', 'STEM', 'OBL', 'ADD']",хвост,5376,"['prefix', 'root', 'suffix', 'suffix']"
зэу,зао,NOUN,['зэу'],['STEM'],война; бой; битва,996,['root']
сомэ,сом,NOUN,['сомэ'],['STEM'],рубль,13218,['root']
хы,хы,NOUN,['хы'],['STEM'],море,1082,['root']
адыгэ,адыгэ,NOUN,['адыгэ'],['STEM'],адыг,55105,['root']
хьапс,хьапс,NOUN,['хьапс'],['STEM'],тюрьма,490,['root']
хъут,Хъут,NOUN,['хъут'],['STEM'],Хут,1410,['root']
шъолъырмэ,шъолъыр,NOUN,"['шъолъыр', 'мэ']","['STEM', 'OBL.PL']","полоса, пояс",13,"['root', 'suffix']"
шъхьаф,шъхьаф,NOUN,['шъхьаф'],['STEM'],отдельный,515,['root']
культурэм,культурэ,NOUN,"['культурэ', 'м']","['STEM', 'OBL']",культура,3819,"['root', 'suffix']"
кӏэлэцӏыкӏу,кӏэлэцӏыкӏу,NOUN,['кӏэлэцӏыкӏу'],['STEM'],ребенок,5777,['root']
мыекъопэ,Мыекъуапэ,NOUN,['мыекъопэ'],['STEM'],Майкоп,6972,['root']
мурат,Мурат,NOUN,['мурат'],['STEM'],Мурат,12272,['root']
бжыхьэ,Бжыхьэ,NOUN,['бжыхьэ'],['STEM'],Бжиха,846,['root']
ӏофыгъохэр,ӏофы,NOUN,"['ӏофы', 'гъо', 'хэ', 'р']","['STEM', 'рыжий', 'PL', 'ABS']",дело; вопрос,2477,"['root', 'suffix', 'suffix', 'suffix']"
хъот,Хъот,NOUN,['хъот'],['STEM'],Хот,579,['root']
искусствэхэмкӏэ,искусство,NOUN,"['искусствэ', 'хэ', 'м', 'кӏэ']","['STEM', 'PL', 'OBL', 'INS']",искусство,1615,"['root', 'suffix', 'suffix', 'suffix']"
тыгъэгъэзэ,гъэ,NOUN,"['ты', 'гъэ', 'гъэ', 'зэ']","['1PL.ABS', 'STEM', 'PST', 'SIM']",год,415,"['prefix', 'root', 'suffix', 'suffix']"
унэгъо,унэ,NOUN,"['унэ', 'гъо']","['STEM', 'рыжий']",дом,3303,"['root', 'suffix']"
ӏофыгъо,ӏофы,NOUN,"['ӏофы', 'гъо']","['STEM', 'рыжий']",дело; вопрос,2106,"['root', 'suffix']"
пщым,пщы,NOUN,"['пщы', 'м']","['STEM', 'OBL']",князь; свекор,369,"['root', 'suffix']"
тиадминистрациекӏэ,администрацие,NOUN,"['т', 'и', 'администрацие', 'кӏэ']","['1PL.P', 'POSS', 'STEM', 'INS']",администрация,1,"['prefix', 'prefix', 'root', 'suffix']"
адыгеим,Адыгее,NOUN,"['адыгеи', 'м']","['STEM', 'OBL']",Адыгея,21795,"['root', 'suffix']"
машӏор,машӏо,NOUN,"['машӏо', 'р']","['STEM', 'ABS']",огонь,850,"['root', 'suffix']"
шыр,шы,NOUN,"['шы', 'р']","['STEM', 'ABS']",лошадь,269,"['root', 'suffix']"
къэс,къэс,NOUN,['къэс'],['STEM'],каждый,5522,['root']
фельдшер,фельдшер,NOUN,['фельдшер'],['STEM'],фельдшер,268,['root']
аскэр,Аскэр,NOUN,['аскэр'],['STEM'],Аскер,2503,['root']
чэщырэ,чэщы,NOUN,"['чэщы', 'рэ']","['STEM', 'COORD']",ночь,239,"['root', 'suffix']"
лъэпкъхэм,лъэпкъ,NOUN,"['лъэпкъ', 'хэ', 'м']","['STEM', 'PL', 'OBL']",сорт; род,2202,"['root', 'suffix', 'suffix']"
благъори,благъо,NOUN,"['благъо', 'р', 'и']","['STEM', 'ABS', 'ADD']",змей,6,"['root', 'suffix', 'suffix']"
юсыф,Юсыф,NOUN,['юсыф'],['STEM'],Юсуф,1357,['root']
гущыӏэхэр,гущыӏэ,NOUN,"['гущыӏэ', 'хэ', 'р']","['STEM', 'PL', 'ABS']",слово; речь,1260,"['root', 'suffix', 'suffix']"
тхь,тхьэ,NOUN,['тхь'],['STEM'],бог,106,['root']
къэралхэми,Къэрал,NOUN,"['къэрал', 'хэ', 'м', 'и']","['STEM', 'PL', 'OBL', 'ADD']",Карал,55,"['root', 'suffix', 'suffix', 'suffix']"
советым,совет,NOUN,"['советы', 'м']","['STEM', 'OBL']",совет,1579,"['root', 'suffix']"
гу,гу,NOUN,['гу'],['STEM'],сердце,2053,['root']
ӏоф,ӏофы,NOUN,['ӏоф'],['STEM'],дело; вопрос,23282,['root']
иӏахьышӏу,ӏахь,NOUN,"['и', 'ӏахьы', 'шӏу']","['POSS', 'STEM', 'добрый']",часть; доля,372,"['prefix', 'root', 'suffix']"
гъэхэ,гъэ,NOUN,"['гъэ', 'хэ']","['STEM', 'PL']",год,11,"['root', 'suffix']"
транспорт,транспорт,NOUN,['транспорт'],['STEM'],транспорт,350,['root']
шъухъущт,хъу,NOUN,"['шъу', 'хъу', 'щт']","['2PL.ABS', 'STEM', 'FUT']",самец,14,"['prefix', 'root', 'suffix']"
дзэ,дзэ,NOUN,['дзэ'],['STEM'],армия,2380,['root']
даур,Даур,NOUN,['даур'],['STEM'],Даур,614,['root']
нэбгырэ,нэбгыр,NOUN,['нэбгырэ'],['STEM'],персона,11882,['root']
икӏэлэцӏыкӏу,кӏэлэцӏыкӏу,NOUN,"['и', 'кӏэлэцӏыкӏу']","['POSS', 'STEM']",ребенок,749,"['prefix', 'root']"
ихэдзакӏохэм,дзэ,NOUN,"['и', 'хэ', 'дза', 'кӏо', 'хэ', 'м']","['POSS', 'LOC', 'STEM', 'NMLZ.AG', 'PL', 'OBL']",армия,90,"['prefix', 'prefix', 'root', 'suffix', 'suffix', 'suffix']"
атхыгъэхэм,тхы,NOUN,"['а', 'тхы', 'гъэ', 'хэ', 'м']","['3PL.P', 'STEM', 'PST', 'PL', 'OBL']",спина,111,"['prefix', 'root', 'suffix', 'suffix', 'suffix']"
къэралыгъо,къэралыгъо,NOUN,['къэралыгъо'],['STEM'],государство,17178,['root']
зэкӏэ,кӏэ,NOUN,"['зэ', 'кӏэ']","['REC.P', 'STEM']",хвост,9709,"['prefix', 'root']"
паршковым,Паршков,NOUN,"['паршковы', 'м']","['STEM', 'OBL']",Паршков,10,"['root', 'suffix']"
ӏофшӏэным,ӏофы,NOUN,"['ӏоф', 'шӏэ', 'ны', 'м']","['STEM', 'делать', 'MOD', 'OBL']",дело; вопрос,2434,"['root', 'suffix', 'suffix', 'suffix']"
унэм,нэ,NOUN,"['у', 'нэ', 'м']","['2SG.P', 'STEM', 'OBL']",глаз; зрение,4550,"['prefix', 'root', 'suffix']"
мышӏэми,мы,NOUN,"['мы', 'шӏэ', 'м', 'и']","['STEM', 'делать', 'OBL', 'ADD']",кислица,1972,"['root', 'suffix', 'suffix', 'suffix']"
дэгъухэр,дагъо,NOUN,"['дэгъу', 'хэ', 'р']","['STEM', 'PL', 'ABS']",изъян,1454,"['root', 'suffix', 'suffix']"
мыцӏыкӏу,мы,NOUN,"['мы', 'цӏыкӏу']","['STEM', 'маленький']",кислица,4,"['root', 'suffix']"
миллиони,миллион,NOUN,"['миллион', 'и']","['STEM', 'ADD']",миллион,2287,"['root', 'suffix']"
площадкэ,площадкэ,NOUN,['площадкэ'],['STEM'],площадка,98,['root']
хъурджанэм,хъурджан,NOUN,"['хъурджанэ', 'м']","['STEM', 'OBL']",кольцо,196,"['root', 'suffix']"
ныкъорэ,ныкъо,NOUN,"['ныкъо', 'рэ']","['STEM', 'COORD']",половина,398,"['root', 'suffix']"
дэгъухэм,дагъо,NOUN,"['дэгъу', 'хэ', 'м']","['STEM', 'PL', 'OBL']",изъян,643,"['root', 'suffix', 'suffix']"
репрессиехэр,репрессие,NOUN,"['репрессие', 'хэ', 'р']","['STEM', 'PL', 'ABS']",репрессия,3,"['root', 'suffix', 'suffix']"
композитор,композитор,NOUN,['композитор'],['STEM'],композитор,265,['root']
адыгеимрэ,Адыгей,NOUN,"['адыгеи', 'м', 'рэ']","['STEM', 'OBL', 'COORD']",Адыгея,809,"['root', 'suffix', 'suffix']"
