morpheme,gloss,affix,freq
борэн,ABS,suffix,1
ты,ABS,suffix,1
анжеликэ,ABS,suffix,1
бэй,ABS,suffix,1
хэ,PL,suffix,1593572
х,PL,suffix,601715
мышъхьэ,PL,suffix,352
ты,PL,suffix,2151
шӏагъэ,PL,suffix,1368
шыкъу,PL,suffix,53
пӏацӏэ,PL,suffix,44
премьер,PL,suffix,3
хэ,PL,prefix,66
гъэ,PL,suffix,14
къуакӏэ,PL,suffix,51
инкубатор,PL,suffix,7
кӏы,PL,suffix,1
шӏыкӏэ,PL,suffix,72
класс,PL,suffix,112
сайт,PL,suffix,17
конференцие,PL,suffix,9
шъокӏу,PL,suffix,28
щып,PL,suffix,59
бэ,PL,suffix,4
поселение,PL,suffix,1
дэмышӏэ,PL,suffix,10
тур,PL,suffix,5
шхо,PL,suffix,7
къурт,PL,suffix,4
шӏу,PL,suffix,2
упцӏэ,PL,suffix,5
быжъы,PL,suffix,1
быжъ,PL,suffix,5
финанс,PL,suffix,1
полоскэ,PL,suffix,3
кӏэ,PL,suffix,1
шӏэ,PL,suffix,1
шӏэгъэ,PL,suffix,1
ресурс,PL,suffix,1
министрэ,PL,suffix,1
менеджер,PL,suffix,2
жъ,PL,suffix,1
классы,PL,suffix,1
эу,ADV,suffix,1143490
у,ADV,suffix,215626
рэу,ADV,suffix,4821
министр,ADV,suffix,1597
зымаф,ADV,suffix,4
шӏагъ,ADV,suffix,259
дэмышӏ,ADV,suffix,836
макӏ,ADV,suffix,191
х,ADV,suffix,200
майор,ADV,suffix,99
премьер,ADV,suffix,161
лъабз,ADV,suffix,42
лейтенант,ADV,suffix,52
т,ADV,suffix,12
адмирал,ADV,suffix,37
дэмышӏэ,ADV,suffix,2
конференцие,ADV,suffix,29
шхо,ADV,suffix,33
концерт,ADV,suffix,5
текӏ,ADV,suffix,1
оперэ,ADV,suffix,3
сым,ADV,suffix,4
къуакӏ,ADV,suffix,4
петербург,ADV,suffix,2
гъ,ADV,suffix,2
щантӏ,ADV,suffix,9
секретар,ADV,suffix,29
бжъаб,ADV,suffix,2
класс,ADV,suffix,18
мышъхь,ADV,suffix,27
щып,ADV,suffix,7
плӏао,ADV,suffix,1
инкубатор,ADV,suffix,12
упцӏ,ADV,suffix,2
ӏушӏ,ADV,suffix,8
хэ,ADV,suffix,1
сайт,ADV,suffix,13
налкъут,ADV,suffix,13
кӏэ,ADV,suffix,1
шыкъу,ADV,suffix,8
гушӏу,ADV,suffix,19
шъокӏу,ADV,suffix,1
шӏыкӏ,ADV,suffix,5
пӏацӏ,ADV,suffix,1
капитан,ADV,suffix,6
поселение,ADV,suffix,2
щ,ADV,suffix,1
мэщ,ADV,suffix,2
техническэ,ADV,suffix,2
быжъ,ADV,suffix,1
жъор,ADV,suffix,1
тур,ADV,suffix,1
къурт,ADV,suffix,2
экономическэ,ADV,suffix,1
министрэ,ADV,suffix,1
ресурс,ADV,suffix,1
гъэ,CAUS,prefix,1033252
гъа,CAUS,prefix,78235
къы,DIR,prefix,887415
къ,DIR,prefix,456006
къэ,DIR,prefix,138986
къа,DIR,prefix,24876
ны,DIR,prefix,2556
рэ,DYN,suffix,636810
э,DYN,prefix,862179
р,DYN,suffix,37033
мэ,DYN,prefix,20210
ма,DYN,prefix,4553
хэ,DYN,suffix,1
щ,GENLOC,prefix,180797
щы,GENLOC,prefix,811807
х,LOC,prefix,555592
хэ,LOC,prefix,615710
кӏэ,LOC,prefix,104702
и,LOC,prefix,775250
пэ,LOC,prefix,81016
лъы,LOC,prefix,71992
ӏ,LOC,prefix,65506
те,LOC,prefix,265287
ӏэпы,LOC,prefix,14494
ӏэп,LOC,prefix,6232
р,LOC,prefix,175480
пы,LOC,prefix,86370
къо,LOC,prefix,33349
лъ,LOC,prefix,70085
ӏы,LOC,prefix,15934
тыр,LOC,prefix,60829
го,LOC,prefix,12106
п,LOC,prefix,39615
па,LOC,prefix,40395
ха,LOC,prefix,73708
ры,LOC,prefix,29114
кӏа,LOC,prefix,16606
хы,LOC,prefix,13145
кӏ,LOC,prefix,13370
гу,LOC,prefix,2065
кӏоцӏы,LOC,prefix,2012
тр,LOC,prefix,980
бгъу,LOC,prefix,1550
кӏоцӏ,LOC,prefix,1340
бгъо,LOC,prefix,1181
тыры,LOC,prefix,593
тры,LOC,prefix,2
и,ADD,suffix,768877
ри,ADD,suffix,132982
м,ADD,suffix,222
хэ,ADD,suffix,160
р,ADD,suffix,186
анжелик,ADD,suffix,35
петербург,ADD,suffix,11
никол,ADD,suffix,36
зымаф,ADD,suffix,2
шӏэгъ,ADD,suffix,227
шӏагъэ,ADD,suffix,6
кӏ,ADD,suffix,38
эу,ADD,suffix,4
шӏагъ,ADD,suffix,13
пӏацӏ,ADD,suffix,3
шӏыкӏ,ADD,suffix,9
антуан,ADD,suffix,12
плӏау,ADD,suffix,1
у,ADD,suffix,4
министр,ADD,suffix,6
мышъхь,ADD,suffix,8
гъ,ADD,suffix,2
шыкъу,ADD,suffix,1
щантӏ,ADD,suffix,1
тхакӏ,ADD,suffix,1
мэщы,ADD,suffix,1
щып,ADD,suffix,1
т,ADD,suffix,1
мытӏоу,ADD,suffix,1
лыхь,ADD,suffix,1
дэмышӏ,ADD,suffix,1
сым,ADD,suffix,1
капитаны,ADD,suffix,4
къуакӏ,ADD,suffix,3
министрэ,ADD,suffix,1
балыкъ,ADD,suffix,1
сайт,ADD,suffix,1
а,3PL.ERG,prefix,765188
ны,MOD,suffix,373874
н,MOD,suffix,734635
и,3SG.ERG,prefix,723271
ы,3SG.ERG,prefix,135455
й,3SG.ERG,prefix,135608
и,POSS,prefix,666205
й,POSS,prefix,222078
я,POSS,prefix,6782
ри,POSS,prefix,436
рй,POSS,prefix,90
зэ,RFL.IO,prefix,612290
з,RFL.IO,prefix,288056
зы,RFL.IO,prefix,223433
а,3PL.IO,prefix,608572
й,3PL.IO,prefix,146055
горэ,STEM,root,8993
чы,STEM,root,15363
лъы,STEM,root,73765
кӏэ,STEM,root,205350
хъу,STEM,root,456586
зэкӏэ,STEM,root,22613
организацие,STEM,root,4610
з,STEM,root,10056
кабинет,STEM,root,2049
шъхьаӏ,STEM,root,16685
шӏэ,STEM,root,506426
лъэс,STEM,root,70950
кӏо,STEM,root,132691
шӏы,STEM,root,246012
ӏо,STEM,root,195982
сабый,STEM,root,7141
республикэ,STEM,root,117924
т,STEM,root,269371
пачъыхьэ,STEM,root,3180
хэт,STEM,root,14819
гурыт,STEM,root,4964
предприятие,STEM,root,2597
лъ,STEM,root,218769
дунаи,STEM,root,16036
тэп,STEM,root,250
дэ,STEM,root,141968
о,STEM,root,50735
пстэу,STEM,root,12311
уна,STEM,root,9662
обществэ,STEM,root,3848
мышъэосты,STEM,root,81
лӏыкӏо,STEM,root,6333
куп,STEM,root,11528
хьэ,STEM,root,48215
мы,STEM,root,60880
дзы,STEM,root,10970
псау,STEM,root,6771
щынэ,STEM,root,2031
отчет,STEM,root,310
александр,STEM,root,7152
кӏ,STEM,root,209045
тхьауегъэпсэу,STEM,root,1277
ӏота,STEM,root,6641
мин,STEM,root,10926
кӏы,STEM,root,285678
гъэшӏэ,STEM,root,7433
биолог,STEM,root,413
гъоты,STEM,root,45156
щыӏэ,STEM,root,24960
бзэ,STEM,root,4068
зао,STEM,root,15305
плъа,STEM,root,2328
ныкъо,STEM,root,1764
хьы,STEM,root,100017
са,STEM,root,752
тэкъо,STEM,root,2250
бзэджа,STEM,root,4546
псы,STEM,root,61842
щэ,STEM,root,230301
къош,STEM,root,347
лӏы,STEM,root,29746
пс,STEM,root,15230
дэхэ,STEM,root,4364
хы,STEM,root,536342
чэзыу,STEM,root,3440
мыекъуапэ,STEM,root,16001
жъы,STEM,root,9294
ӏэ,STEM,root,240321
хъ,STEM,root,16202
общественнэ,STEM,root,9968
район,STEM,root,7380
ныбжьы,STEM,root,20810
ӏоф,STEM,root,55072
анэ,STEM,root,11189
утэшъуа,STEM,root,57
ужьыр,STEM,root,96
кӏу,STEM,root,26891
укӏы,STEM,root,4779
ыкӏи,STEM,root,59686
шӏу,STEM,root,26908
бэлъкъары,STEM,root,2337
упчӏ,STEM,root,2589
щы,STEM,root,90983
хэты,STEM,root,977
нэ,STEM,root,46169
е,STEM,root,92065
адыгэ,STEM,root,130264
шхэ,STEM,root,3622
шӏа,STEM,root,93652
шъолъыр,STEM,root,6340
бюджеты,STEM,root,3316
илъэс,STEM,root,36154
а,STEM,root,278784
лъэныкъо,STEM,root,20498
жь,STEM,root,28223
сэ,STEM,root,25648
плъы,STEM,root,37586
джа,STEM,root,80521
бэгъуа,STEM,root,431
мо,STEM,root,1852
гъогу,STEM,root,29539
урам,STEM,root,2472
кӏэлэ,STEM,root,35360
гуманитар,STEM,root,869
гъусэ,STEM,root,10685
пчъагъэ,STEM,root,13445
нэфа,STEM,root,26514
фы,STEM,root,30896
сыд,STEM,root,20327
амал,STEM,root,11674
апэ,STEM,root,22489
хъо,STEM,root,65657
лъэпкъы,STEM,root,7872
ты,STEM,root,304121
джэ,STEM,root,75387
площадкэ,STEM,root,359
щэфы,STEM,root,12293
нурбый,STEM,root,4515
ӏорышӏа,STEM,root,5893
ӏэгуао,STEM,root,2799
къэралыгъо,STEM,root,24745
тыгъэ,STEM,root,3303
редакцие,STEM,root,586
блэ,STEM,root,33836
чӏыгулэжь,STEM,root,619
ӏу,STEM,root,56596
гъэ,STEM,root,37362
шэуджэн,STEM,root,2910
хъопсы,STEM,root,2789
уа,STEM,root,7331
шъхьа,STEM,root,1515
щ,STEM,root,41765
хьа,STEM,root,35095
чӏэ,STEM,root,1371
гъэзеты,STEM,root,2039
пытэ,STEM,root,16058
хэгъэгу,STEM,root,15522
культурэ,STEM,root,21746
ӏофтхьабзэ,STEM,root,20259
гъо,STEM,root,42787
кӏа,STEM,root,75375
пыта,STEM,root,4666
урысые,STEM,root,23320
адыгеи,STEM,root,50642
лъэ,STEM,root,30260
ӏэсэ,STEM,root,3471
лэ,STEM,root,36347
ӏоты,STEM,root,6144
гурыӏо,STEM,root,7622
дза,STEM,root,7127
къыт,STEM,root,697
наты,STEM,root,7
рэзэ,STEM,root,2907
генералы,STEM,root,503
гъазэ,STEM,root,3983
тхылъ,STEM,root,12090
гу,STEM,root,83562
ш,STEM,root,19007
тхьаматэ,STEM,root,2248
дэжь,STEM,root,19376
ӏ,STEM,root,15189
тыркуе,STEM,root,3037
купы,STEM,root,9190
гумэкӏы,STEM,root,16006
нэбзыи,STEM,root,22
шхы,STEM,root,3663
лъапӏ,STEM,root,1174
лъэкӏы,STEM,root,37396
ӏа,STEM,root,25660
лъэпкъ,STEM,root,24293
зэгъ,STEM,root,4257
пщы,STEM,root,6081
сэмэркъэу,STEM,root,1545
университеты,STEM,root,9596
гущыӏэ,STEM,root,57903
ухъумэ,STEM,root,12167
совет,STEM,root,6230
тхы,STEM,root,35122
тх,STEM,root,6756
пшъэрылъ,STEM,root,12048
ины,STEM,root,2282
къо,STEM,root,17567
машинэ,STEM,root,2352
социальнэ,STEM,root,12631
макӏэ,STEM,root,17064
уцу,STEM,root,99225
нэкъокъу,STEM,root,115510
тэ,STEM,root,27594
индие,STEM,root,99
быслъымэн,STEM,root,2359
мафэ,STEM,root,36974
пенсие,STEM,root,5928
дж,STEM,root,9098
волейболы,STEM,root,165
тӏэ,STEM,root,11181
нахь,STEM,root,52455
цӏыф,STEM,root,40959
нэгу,STEM,root,2843
тхьамат,STEM,root,5610
лэжьэ,STEM,root,24432
гъу,STEM,root,50912
кавказ,STEM,root,2391
къутамэ,STEM,root,2548
гъэшӏэгъон,STEM,root,7660
мэщфэшӏу,STEM,root,425
лъэӏу,STEM,root,13368
щт,STEM,root,15165
ӏуатэ,STEM,root,9452
ӏофышӏэ,STEM,root,9025
благъэ,STEM,root,9857
кӏоцӏ,STEM,root,8453
жьэ,STEM,root,13547
псэолъэшӏы,STEM,root,1144
сомэ,STEM,root,13242
уасэ,STEM,root,6222
го,STEM,root,29624
гъэзэ,STEM,root,17148
пӏу,STEM,root,28990
сыдигъуи,STEM,root,2352
жъыу,STEM,root,3847
хэсэ,STEM,root,253
хэку,STEM,root,6403
къу,STEM,root,19918
кӏоты,STEM,root,11493
миллион,STEM,root,7404
осмэн,STEM,root,376
ежь,STEM,root,27851
президент,STEM,root,5300
гъунэ,STEM,root,3996
шэ,STEM,root,5919
кӏасэ,STEM,root,7280
цӏыфы,STEM,root,12955
ӏэнэ,STEM,root,1114
султӏан,STEM,root,1284
завод,STEM,root,653
тыгу,STEM,root,1822
дэгъу,STEM,root,42061
тӏу,STEM,root,1775
псэу,STEM,root,51778
федэ,STEM,root,12003
экономикэ,STEM,root,4573
уты,STEM,root,14026
кӏалэ,STEM,root,21268
бзылъфыгъэ,STEM,root,7198
чемпион,STEM,root,841
гурыты,STEM,root,1315
ошӏэ,STEM,root,1907
кандидат,STEM,root,1271
псынкӏ,STEM,root,8814
шъу,STEM,root,8843
комплекснэ,STEM,root,56
тӏогъогогъо,STEM,root,514
къалэ,STEM,root,12112
фэ,STEM,root,10647
кубок,STEM,root,627
лажьэ,STEM,root,20031
страховой,STEM,root,1159
орэды,STEM,root,2047
тхэ,STEM,root,23897
дзэ,STEM,root,12607
уцо,STEM,root,33674
лъэгъу,STEM,root,46569
сабыи,STEM,root,2582
летчик,STEM,root,186
гуӏэ,STEM,root,915
мыхьамэт,STEM,root,4095
специалист,STEM,root,2426
гъ,STEM,root,28088
шъхьаф,STEM,root,32486
гушӏуа,STEM,root,7538
шӏэгъо,STEM,root,11204
чъ,STEM,root,1839
судья,STEM,root,689
расписание,STEM,root,17
и,STEM,root,200648
ӏуа,STEM,root,86150
джэгу,STEM,root,9484
ухы,STEM,root,13285
учреждение,STEM,root,3175
плъ,STEM,root,8081
ушъ,STEM,root,490
ӏофтхьабз,STEM,root,3114
кӏэсэ,STEM,root,1859
джы,STEM,root,49373
рассказ,STEM,root,632
узы,STEM,root,4676
кӏэлэегъаджэ,STEM,root,4532
сэнэхьат,STEM,root,3848
ӏэпэӏас,STEM,root,1229
ӏахь,STEM,root,2920
шы,STEM,root,12094
псын,STEM,root,2889
угъои,STEM,root,9162
ӏофы,STEM,root,35012
тхь,STEM,root,528
арэущтэу,STEM,root,1811
ащыгъу,STEM,root,1535
зиусхьаны,STEM,root,1744
лъэкӏ,STEM,root,1570
премьер,STEM,root,3078
татарстан,STEM,root,160
пресс,STEM,root,5075
шъуашэ,STEM,root,3936
х,STEM,root,57874
шӏ,STEM,root,55039
советскэ,STEM,root,3340
мыекъопэ,STEM,root,6974
пащэ,STEM,root,17391
чъыг,STEM,root,2556
пэщэ,STEM,root,1843
мурат,STEM,root,13633
тет,STEM,root,8075
гугъу,STEM,root,34151
лъытэ,STEM,root,31179
цӏэ,STEM,root,18001
хьазыры,STEM,root,11143
фэмыфы,STEM,root,52
пэкӏэ,STEM,root,5579
кӏэрэкӏа,STEM,root,572
тӏ,STEM,root,4817
лъэшы,STEM,root,2492
уж,STEM,root,9842
аслъан,STEM,root,40209
шышъхьэӏу,STEM,root,1304
роль,STEM,root,800
богатыревы,STEM,root,71
ушэты,STEM,root,8441
щагу,STEM,root,2625
лы,STEM,root,766
тыгъосэ,STEM,root,134
спортсмен,STEM,root,2757
адэ,STEM,root,5044
ӏажэ,STEM,root,1743
пхы,STEM,root,22546
пэ,STEM,root,18711
къызбэч,STEM,root,192
произведение,STEM,root,1456
нэбгырэ,STEM,root,12255
бзэгу,STEM,root,251
текӏ,STEM,root,65
гуап,STEM,root,2534
чылэ,STEM,root,4419
къин,STEM,root,4931
проект,STEM,root,2995
тарихъ,STEM,root,5144
бэ,STEM,root,18963
виктор,STEM,root,722
уц,STEM,root,2150
урамы,STEM,root,706
унэ,STEM,root,21255
айбек,STEM,root,127
илъэсы,STEM,root,38231
чиновник,STEM,root,188
муниципальнэ,STEM,root,3784
районы,STEM,root,13640
гупшысэ,STEM,root,15423
кӏуа,STEM,root,26081
водитель,STEM,root,1103
хэшӏыкӏы,STEM,root,1390
лъыты,STEM,root,7236
непэ,STEM,root,14078
ныбжьыкӏ,STEM,root,1266
жьа,STEM,root,18111
георгиевскэ,STEM,root,96
тренер,STEM,root,4146
псынкӏэ,STEM,root,6017
системэ,STEM,root,1831
творческэ,STEM,root,1882
уахътэ,STEM,root,10954
нэмыкӏ,STEM,root,32007
москва,STEM,root,4259
гъы,STEM,root,9548
атэ,STEM,root,9822
мэфэкӏ,STEM,root,6154
мыжъо,STEM,root,1620
я,STEM,root,4586
ща,STEM,root,83302
хъа,STEM,root,10281
закъо,STEM,root,12264
аужырэ,STEM,root,5008
зэгъэ,STEM,root,2892
автобус,STEM,root,528
чъые,STEM,root,1708
къэлапчъэ,STEM,root,2338
къуаджэ,STEM,root,10624
тхъы,STEM,root,5963
щыр,STEM,root,284
заремэ,STEM,root,603
федеральнэ,STEM,root,17537
нэпкъы,STEM,root,468
пӏо,STEM,root,35272
гъэмэфэ,STEM,root,969
автомобиль,STEM,root,2742
андрей,STEM,root,994
чылыс,STEM,root,292
транспорты,STEM,root,936
хъурэе,STEM,root,155
мысэ,STEM,root,889
хьакӏэ,STEM,root,11229
тхъу,STEM,root,6955
псэ,STEM,root,4171
овсянниковы,STEM,root,10
гущыӏа,STEM,root,13507
ау,STEM,root,28774
щэфа,STEM,root,365
хъурае,STEM,root,1171
сы,STEM,root,6504
бз,STEM,root,3407
гугъа,STEM,root,2807
зэу,STEM,root,6112
къал,STEM,root,4317
ольга,STEM,root,516
краи,STEM,root,7306
тхьакӏущынэ,STEM,root,6997
институты,STEM,root,2766
укӏытэ,STEM,root,948
тӏокӏитӏ,STEM,root,35
ныб,STEM,root,12084
творчествэ,STEM,root,4484
къулыкъу,STEM,root,16019
гупшыс,STEM,root,4198
пша,STEM,root,2249
д,STEM,root,10358
цӏ,STEM,root,1475
отличие,STEM,root,14
дунэе,STEM,root,11286
цӏыкӏу,STEM,root,18037
министерствэ,STEM,root,14028
зы,STEM,root,20938
гъэцакӏэ,STEM,root,3272
апшъэ,STEM,root,3935
щхы,STEM,root,2746
ла,STEM,root,1390
убыта,STEM,root,9772
ухъу,STEM,root,934
батыр,STEM,root,830
отраслэ,STEM,root,654
хэжъ,STEM,root,37
дэу,STEM,root,5169
прокуратурэ,STEM,root,1662
лъэгъо,STEM,root,16906
кобэщыч,STEM,root,68
медицинэ,STEM,root,4298
мэшӏо,STEM,root,480
бырсы,STEM,root,1081
пкъ,STEM,root,3533
клиникэ,STEM,root,213
шхо,STEM,root,1935
самолет,STEM,root,364
ӏорӏуатэ,STEM,root,111
упчӏа,STEM,root,1784
нэфэ,STEM,root,6810
ислъам,STEM,root,1769
да,STEM,root,8244
стӏашъу,STEM,root,1391
ссср,STEM,root,1187
рэмэзан,STEM,root,3553
азэмат,STEM,root,2116
сэпэ,STEM,root,53
процент,STEM,root,6574
чыжь,STEM,root,1822
академие,STEM,root,907
тарихъы,STEM,root,2514
широкова,STEM,root,577
жьыбгъэ,STEM,root,850
б,STEM,root,2595
ӏас,STEM,root,1594
тӏыс,STEM,root,3580
шъо,STEM,root,33961
пшъэдэкӏыжь,STEM,root,2974
лъа,STEM,root,10922
бла,STEM,root,21775
гушӏо,STEM,root,7272
дахэ,STEM,root,12317
дин,STEM,root,1884
зыгорэ,STEM,root,3691
хь,STEM,root,12838
сымаджэ,STEM,root,1782
унэгъо,STEM,root,3732
пхъотэ,STEM,root,119
налбый,STEM,root,1542
сэхъутэ,STEM,root,493
пӏуа,STEM,root,3415
па,STEM,root,3159
къ,STEM,root,1469
станиц,STEM,root,671
пшъэ,STEM,root,7527
хьэкӏа,STEM,root,565
кӏод,STEM,root,2468
администрацие,STEM,root,4615
руслъан,STEM,root,2972
чӏы,STEM,root,37238
джэуап,STEM,root,3783
цумпэ,STEM,root,315
шъхьэ,STEM,root,10798
щты,STEM,root,6892
гъатхэ,STEM,root,952
алахьы,STEM,root,4046
шъузы,STEM,root,730
эксперт,STEM,root,679
лент,STEM,root,18
пащ,STEM,root,12148
соколовы,STEM,root,55
ны,STEM,root,6785
тэрэз,STEM,root,4695
хьатэгъу,STEM,root,456
европэ,STEM,root,1255
кӏоды,STEM,root,5934
щысэ,STEM,root,2430
щыс,STEM,root,1613
къурмэн,STEM,root,361
адыга,STEM,root,7285
къэс,STEM,root,6246
кӏодэ,STEM,root,1643
пчэдыжьы,STEM,root,1195
наджэ,STEM,root,14
элеватор,STEM,root,42
плъэ,STEM,root,27402
дунай,STEM,root,4780
ин,STEM,root,9955
шт,STEM,root,651
стол,STEM,root,134
товар,STEM,root,461
министр,STEM,root,2952
спорт,STEM,root,3142
кемеровскэ,STEM,root,14
пӏалъэ,STEM,root,2065
жъуагъо,STEM,root,527
шыпы,STEM,root,2215
тыгъо,STEM,root,2772
зэкъо,STEM,root,546
свет,STEM,root,96
чатэ,STEM,root,594
макъэ,STEM,root,10937
пыт,STEM,root,14534
мазэ,STEM,root,7415
убла,STEM,root,5456
штэ,STEM,root,21624
партие,STEM,root,4492
лэжьа,STEM,root,15928
чэфы,STEM,root,1820
гъэцэкӏа,STEM,root,1820
пэга,STEM,root,238
къэлэ,STEM,root,5617
тыгъужъ,STEM,root,614
абхъазы,STEM,root,1013
укъуа,STEM,root,2259
гуадз,STEM,root,4314
адам,STEM,root,3073
лъапс,STEM,root,844
доктор,STEM,root,1458
ныбжь,STEM,root,7565
лъэгъуа,STEM,root,6930
журнал,STEM,root,930
блэгъа,STEM,root,8248
хъун,STEM,root,6728
мыгу,STEM,root,421
бэна,STEM,root,2081
хьазыр,STEM,root,3481
былымӏус,STEM,root,72
пхъэ,STEM,root,1981
ӏэты,STEM,root,19709
лъагъо,STEM,root,14701
хьанэхъу,STEM,root,357
ижевск,STEM,root,134
ӏыгъы,STEM,root,7873
мылъку,STEM,root,7853
музыкальнэ,STEM,root,1475
с,STEM,root,3489
лъапӏэ,STEM,root,7236
шъыпкъ,STEM,root,7331
хьасэ,STEM,root,2119
упчӏэ,STEM,root,10503
фашӏэ,STEM,root,3594
шъхьапсынкӏа,STEM,root,1
рулы,STEM,root,643
израилы,STEM,root,710
алахь,STEM,root,677
къэсэй,STEM,root,277
нафэ,STEM,root,4860
краснодар,STEM,root,7155
бжьы,STEM,root,353
ӏушъо,STEM,root,718
программ,STEM,root,1395
тазыр,STEM,root,981
сусанэ,STEM,root,520
пцӏы,STEM,root,718
анзор,STEM,root,1588
сты,STEM,root,3380
щына,STEM,root,4296
мэ,STEM,root,10093
спорты,STEM,root,5098
ар,STEM,root,17074
заулэ,STEM,root,4921
адыг,STEM,root,955
хъэ,STEM,root,2615
бын,STEM,root,943
пӏастэ,STEM,root,157
мэщбэшӏэ,STEM,root,1090
хьау,STEM,root,2479
мэз,STEM,root,10374
гупсэ,STEM,root,4019
лэжьы,STEM,root,22087
жъо,STEM,root,2606
чӏыгу,STEM,root,8960
феда,STEM,root,1935
эдуард,STEM,root,354
чыжьэ,STEM,root,2252
убгъу,STEM,root,1581
гемодиализ,STEM,root,7
ӏахьы,STEM,root,1820
на,STEM,root,14677
шъхьафиты,STEM,root,529
быбатэ,STEM,root,202
патриот,STEM,root,229
ӏэпэӏасэ,STEM,root,1190
тха,STEM,root,6985
мызэу,STEM,root,147
фа,STEM,root,6182
дотацие,STEM,root,113
советы,STEM,root,1713
политическэ,STEM,root,850
гупч,STEM,root,1214
къутыр,STEM,root,1077
тариф,STEM,root,398
коллективы,STEM,root,386
ф,STEM,root,3909
чэщы,STEM,root,1507
ӏэшӏу,STEM,root,3926
къэбэртэе,STEM,root,2222
пӏэкӏор,STEM,root,131
инвестиционнэ,STEM,root,831
зэгъы,STEM,root,15059
маркэ,STEM,root,132
гъэцэкӏэ,STEM,root,13391
дивизие,STEM,root,304
образ,STEM,root,551
хьылъэ,STEM,root,1988
упчӏы,STEM,root,9998
шӏушӏа,STEM,root,917
султӏаны,STEM,root,1313
урокы,STEM,root,210
дондуковскэ,STEM,root,240
ведомствэ,STEM,root,1906
байзэт,STEM,root,649
шъыпкъа,STEM,root,3129
арам,STEM,root,69
муниципалитет,STEM,root,350
насып,STEM,root,2522
кӏухьа,STEM,root,1059
шпаргалкэ,STEM,root,55
жъу,STEM,root,6104
мыгъэрэ,STEM,root,220
шэн,STEM,root,4262
убыты,STEM,root,17326
бай,STEM,root,1640
директор,STEM,root,2610
